Date,Time,Open,High,Low,Close,Volume
2025-04-23,13:15,3305.75,3309.51,3298.26,3299.85,16660
2025-04-23,13:30,3299.59,3304.46,3280.56,3291.88,36723
2025-04-23,13:45,3292.0,3294.34,3271.04,3276.53,36579
2025-04-23,14:00,3276.47,3278.09,3260.08,3269.85,34801
2025-04-23,14:15,3269.89,3284.79,3268.66,3275.34,28527
2025-04-23,14:30,3275.34,3288.9,3271.46,3288.83,24622
2025-04-23,14:45,3288.57,3296.23,3285.63,3287.42,25976
2025-04-23,15:00,3287.43,3294.35,3277.17,3277.49,23950
2025-04-23,15:15,3277.49,3283.71,3269.13,3276.99,29781
2025-04-23,15:30,3277.05,3281.69,3269.29,3281.26,16444
2025-04-23,15:45,3281.26,3288.08,3275.59,3280.31,14059
2025-04-23,16:00,3280.57,3289.39,3279.14,3288.06,11704
2025-04-23,16:15,3288.08,3294.68,3287.89,3291.93,12184
2025-04-23,16:30,3291.93,3299.76,3289.09,3298.14,13331
2025-04-23,16:45,3298.13,3305.59,3294.83,3295.02,12467
2025-04-23,17:00,3295.02,3301.46,3289.21,3289.43,12938
2025-04-23,17:15,3289.42,3289.85,3281.57,3282.42,13568
2025-04-23,17:30,3282.39,3284.6,3277.74,3283.02,9466
2025-04-23,17:45,3282.97,3284.49,3280.18,3281.21,7333
2025-04-23,18:00,3281.18,3286.45,3277.91,3285.77,6419
2025-04-23,18:15,3285.76,3286.95,3279.28,3280.25,7471
2025-04-23,18:30,3280.29,3281.87,3277.78,3280.37,6008
2025-04-23,18:45,3280.36,3283.8,3280.09,3282.74,5293
2025-04-23,19:00,3282.74,3292.54,3282.61,3289.55,5284
2025-04-23,19:15,3289.56,3296.47,3288.72,3295.69,6708
2025-04-23,19:30,3295.7,3296.08,3290.77,3295.43,6246
2025-04-23,19:45,3295.37,3297.15,3290.55,3293.85,6766
2025-04-23,20:00,3293.87,3295.74,3291.72,3293.4,3375
2025-04-23,20:15,3293.4,3294.89,3289.7,3290.25,3024
2025-04-23,20:30,3290.26,3290.31,3283.9,3288.85,3810
2025-04-23,20:45,3288.88,3289.91,3286.65,3288.12,2250
2025-04-23,22:00,3288.08,3311.55,3288.03,3310.01,3243
2025-04-23,22:15,3310.04,3311.26,3305.17,3310.82,1652
2025-04-23,22:30,3310.81,3315.91,3308.54,3314.09,2332
2025-04-23,22:45,3314.0,3314.81,3307.68,3309.03,1403
2025-04-23,23:00,3309.14,3311.71,3308.19,3310.32,1939
2025-04-23,23:15,3310.32,3312.14,3309.02,3311.11,2770
